Site,Total_Ceramics,Burnished Interior,Burnished Exterior,Shell-combed Ext,Shell-combed Int,Rect_Punct,Square_Punct,Tri_Punct,Incised
G-11-20,58,44,38,0,0,13,1,10,0
VATO Za003,10,0,0,0,0,10,0,0,0
G-48-20,67,28,20,0,0,7,0,10,1
LSS_52,33,0,0,0,0,6,0,0,0
GI118,41,0,0,0,0,6,1,0,0
GI128,17,0,0,5,0,5,0,0,0
TAMPO Bri037,40,8,8,2,0,4,0,12,0
G-0-20,81,10,62,0,1,4,1,4,0
VATO Pa004,8,2,0,0,0,4,0,2,0
LSS_10,45,28,0,0,0,3,0,0,0
Agnolignoly Ri 14,2,0,0,0,0,2,0,2,0
GI31,3,0,0,2,0,2,0,0,0
GI130,70,25,19,23,1,2,0,0,0
Lam Zafy 08/03,2,2,0,0,0,2,0,2,0
Lam za 25,8,2,3,0,0,2,0,2,0
Tampolove 26,23,0,3,0,0,2,0,6,0
NB Za002,6,0,0,0,0,2,0,0,0
NB Za004,6,0,0,0,0,2,0,0,0
NB Fe002,6,0,0,0,0,2,0,4,0
Lamboara,7,2,0,0,0,1,0,2,0
Nosy Za 07,3,0,0,0,0,1,0,0,0
G-3-20,10,4,4,0,0,1,0,1,0
GI57,9,6,5,1,1,1,0,0,0
GI89,5,0,0,0,0,1,0,0,0
Agnolignoly B 13,6,0,0,0,0,1,0,2,0
GUM TREE_1,20,4,0,14,0,1,0,0,0
Lam Zafy 08/04,7,1,1,0,0,1,0,4,0
G-4-20,1,0,0,0,0,1,0,0,0
GI120,19,0,0,0,0,1,1,0,0
Nosy Fe 07,3,0,0,0,0,1,0,1,0
NB Hr 02,2,0,0,0,0,1,0,0,0
ANDA_1,346,29,11,32,0,0,0,0,10
GI145,36,35,30,11,1,0,0,0,1
GI100,2,0,0,0,0,0,0,2,1
GI144,13,11,11,6,0,0,0,0,1
GI105,2,0,0,0,0,0,0,1,1
Lam Zafy 08/22,13,3,1,4,0,0,4,9,0
Lam Zafy 08/13,7,0,0,0,0,0,2,6,0
Tsimi Hira 72,5,0,0,0,0,0,1,0,0
LSS_14,18,12,0,3,0,0,1,0,0
Lam Zafy 08/10,2,0,0,0,0,0,1,1,0
Lam Zafy 08/05,1,0,0,0,0,0,1,0,0
Lambri 08/12,3,0,0,0,0,0,1,1,0
Tsimi za 113,2,0,0,0,0,0,1,0,0
Lambri 08/16,7,1,1,1,0,0,1,0,0
Lambri 08/15,7,0,0,1,0,0,1,0,0
Lambri 08/17,6,3,3,0,0,0,1,4,0
Nosy Pa 01,3,0,0,0,0,0,1,1,0
