Site,Total_Ceramics,Burnished Interior,Burnished Exterior,Shell-combed Ext,Shell-combed Int,Rect_Punct,Square_Punct,Tri_Punct,Incised
LSS_22,83,0,3,39,0,0,0,1,0
ANDA_1,346,29,11,32,0,0,0,0,10
Bevohitra_1,92,6,20,26,3,0,0,0,0
GI130,70,25,19,23,1,2,0,0,0
14S_25,46,17,13,22,0,0,0,0,0
ESS_1,24,0,1,21,0,0,0,0,0
14S_51,46,0,0,20,0,0,0,0,0
GI134,61,44,31,20,4,0,0,0,0
Bevohitra_4,63,1,4,18,3,0,0,0,0
14S_41,78,8,7,15,5,0,0,0,0
LSS_21,39,0,0,15,0,0,0,0,0
GUM TREE_1,20,4,0,14,0,1,0,0,0
GI145,36,35,30,11,1,0,0,0,1
Anato_1,29,0,0,11,0,0,0,0,0
LSS_57,39,0,0,10,0,0,0,0,0
NSS_8,10,0,0,9,0,0,0,0,0
LSS_56,27,0,0,9,0,0,0,0,0
GI33,15,13,12,8,0,0,0,0,0
14S_54,24,1,1,8,0,0,0,0,0
14S_40,12,0,1,8,0,0,0,0,0
GI136,17,12,7,8,0,0,0,0,0
14S_60,31,4,3,7,4,0,0,0,0
14S_22,17,2,2,7,0,0,0,0,0
Befandefa_1,19,0,0,7,0,0,0,0,0
GI144,13,11,11,6,0,0,0,0,1
GI133b,12,0,0,6,0,0,0,0,0
14S_242,13,0,0,6,0,0,0,0,0
ESS_4,10,1,1,6,0,0,0,0,0
GI133,12,6,6,6,0,0,0,0,0
LSS_66,18,0,0,6,0,0,0,0,0
GI128,17,0,0,5,0,5,0,0,0
LSS_2,17,1,4,5,0,0,0,0,0
LSS_41,45,1,3,5,0,0,0,0,0
LSS_12,19,10,0,5,0,0,0,0,0
LSS_24,26,1,11,5,0,0,0,0,0
ESS_3,27,1,1,5,0,0,0,0,0
14S_65,10,0,2,5,0,0,0,0,0
14S_10,5,0,0,5,0,0,0,0,0
Lam Zafy 08/22,13,3,1,4,0,0,4,9,0
Andala Za 004,14,2,4,4,2,0,0,0,0
TsimBri009,8,8,4,4,0,0,0,8,0
LSS_19,5,0,0,4,0,0,0,0,0
TsimB7 1,4,0,0,4,0,0,0,4,0
14S_37,12,3,1,4,0,0,0,0,0
LSS_62,11,0,1,4,0,0,0,0,0
Salary_1,12,4,6,4,0,0,0,0,0
Agnolignoly Fr 03,11,2,0,4,0,0,0,4,0
Ankilitelo_1,14,2,4,4,0,0,0,0,0
LSS_14,18,12,0,3,0,0,1,0,0
GI139,7,4,5,3,0,0,0,0,0
14S_124,4,0,0,3,0,0,0,0,0
14S_47,10,0,0,3,0,0,0,0,0
14S_38,15,1,2,3,0,0,0,0,0
14S_33,5,1,1,3,0,0,0,0,0
ESS_5,8,0,0,3,0,0,0,0,0
14S_80,8,0,0,3,0,0,0,0,0
LSS_60,12,0,0,3,0,0,0,0,0
LSS_64,12,3,2,3,0,0,0,0,0
TAMPO Bri037,40,8,8,2,0,4,0,12,0
GI31,3,0,0,2,0,2,0,0,0
Anjaboba Ca08,5,0,0,2,0,0,0,1,0
Andala FE 009,6,0,6,2,0,0,0,0,0
Andala Za 003,14,0,6,2,0,0,0,0,0
Andala1 R4,4,0,1,2,0,0,0,0,0
Anjaboba B2,4,0,0,2,0,0,0,0,0
Biri 47,4,0,0,2,0,0,0,0,0
NB ca 02,2,0,0,2,0,0,0,0,0
LSS_50,10,5,0,2,0,0,0,0,0
Tsimi za 55,3,0,0,2,0,0,0,1,0
LSS_45,5,0,0,2,0,0,0,0,0
TsimiB16,30,8,10,2,2,0,0,26,0
SSS_9,8,0,1,2,0,0,0,0,0
LSS_15,20,0,1,2,0,0,0,0,0
LSS_16,8,1,1,2,0,0,0,0,0
14S_130,6,0,0,2,0,0,0,0,0
14S_131,4,0,0,2,0,0,0,0,0
14S_125,8,0,0,2,0,0,0,0,0
14S_43,3,0,1,2,0,0,0,0,0
14S_57,10,1,0,2,0,0,0,0,0
14S_56,7,0,3,2,0,0,0,0,0
14S_42,4,0,0,2,0,0,0,0,0
14S_53,6,0,0,2,0,0,0,0,0
14S_61,11,0,0,2,0,0,0,0,0
14S_29,8,0,0,2,0,0,0,0,0
14S_18,4,3,2,2,0,0,0,0,0
14S_92,2,0,0,2,0,0,0,0,0
14S_305,4,0,0,2,0,0,0,0,0
14S_3,3,2,2,2,0,0,0,0,0
LSS_58,19,2,2,2,0,0,0,0,0
Tampol B35,2,0,0,2,0,0,0,2,0
Tsim HR 25,2,0,0,2,0,0,0,0,0
G-7-20,8,4,5,2,0,0,0,0,0
GI45,12,12,12,2,0,0,0,0,0
Lambri 08/16,7,1,1,1,0,0,1,0,0
Lambri 08/15,7,0,0,1,0,0,1,0,0
GI57,9,6,5,1,1,1,0,0,0
Andala 1HR7,2,0,0,1,0,0,0,0,0
Andala1 B10,4,0,1,1,0,0,0,0,0
Andala1 B2,2,1,1,1,0,0,0,0,0
Andala1 RI10,3,0,1,1,0,0,0,0,0
Anjaboba P2,1,0,0,1,0,0,0,0,0
Nosy Hr 03,1,0,0,1,0,0,0,0,0
GI58,12,6,7,1,0,0,0,0,0
GI148,1,1,0,1,0,0,0,0,0
GI149,1,1,0,1,0,0,0,0,0
LSS_20,19,1,1,1,0,0,0,0,0
SSS_11,18,0,1,1,0,0,0,0,0
GI142,1,0,0,1,0,0,0,0,0
Tsimi za 91,1,1,1,1,0,0,0,1,0
G-10-20,3,0,0,1,0,0,0,0,0
14S_127,4,0,0,1,0,0,0,0,0
14S_135,1,0,0,1,0,0,0,0,0
14S_126,4,0,0,1,0,0,0,0,0
GI135,1,0,0,1,0,0,0,0,0
14S_143,1,0,0,1,1,0,0,0,0
14S_139,3,0,0,1,0,0,0,0,0
14S_45,1,0,0,1,0,0,0,0,0
Andamoty-Be_10,10,0,1,1,0,0,0,0,0
14S_48,4,2,1,1,0,0,0,0,0
