Site,Total_Ceramics,Burnished Interior,Burnished Exterior,Shell-combed Ext,Shell-combed Int,Rect_Punct,Square_Punct,Tri_Punct,Incised
LamZa 26,32,16,16,0,0,0,0,28,0
TsimiB16,30,8,10,2,2,0,0,26,0
Tsim Fr41,16,12,8,0,0,0,0,16,0
TAMPO Bri037,40,8,8,2,0,4,0,12,0
Lamb 08/3,16,0,0,0,0,0,0,12,0
LamFr 9,12,0,0,0,0,0,0,12,0
G-11-20,58,44,38,0,0,13,1,10,0
G-48-20,67,28,20,0,0,7,0,10,1
Lam Zafy 08/22,13,3,1,4,0,0,4,9,0
TsimBri009,8,8,4,4,0,0,0,8,0
TsimBri15,14,0,2,0,0,0,0,8,0
TsimiB34,8,0,0,0,2,0,0,8,0
Lamb 08/5,8,0,0,0,0,0,0,8,0
LamFr 34,8,0,4,0,0,0,0,8,0
LamFr 3,8,0,0,0,0,0,0,8,0
Lam Zafy 08/13,7,0,0,0,0,0,2,6,0
Tampolove 26,23,0,3,0,0,2,0,6,0
TSIMI Za075,10,0,10,0,0,0,0,6,0
Andragnombala_1,21,10,0,0,0,0,0,5,0
Tsimi za 070,5,0,1,0,0,0,0,5,0
Tsimi za 56,6,1,1,0,0,0,0,5,0
TsimB7 1,4,0,0,4,0,0,0,4,0
Agnolignoly Fr 03,11,2,0,4,0,0,0,4,0
G-0-20,81,10,62,0,1,4,1,4,0
Lambri 08/17,6,3,3,0,0,0,1,4,0
NB Fe002,6,0,0,0,0,2,0,4,0
Lam Zafy 08/04,7,1,1,0,0,1,0,4,0
Tsimi za 048,6,0,3,0,0,0,0,4,0
TSIMI Za061,16,0,0,0,0,0,0,4,0
TsimFr54,12,0,0,0,0,0,0,4,0
Lamb 3,4,0,0,0,0,0,0,4,0
Lamb 4,4,0,0,0,0,0,0,4,0
Lamb 10,4,0,0,0,0,0,0,4,0
LamFr 29,4,0,0,0,0,0,0,4,0
LSS_4,9,5,2,0,0,0,0,3,0
Tsimi za 003,9,3,3,0,0,0,0,3,0
Tampol B35,2,0,0,2,0,0,0,2,0
GI100,2,0,0,0,0,0,0,2,1
VATO Pa004,8,2,0,0,0,4,0,2,0
Agnolignoly Ri 14,2,0,0,0,0,2,0,2,0
Lam Zafy 08/03,2,2,0,0,0,2,0,2,0
Lam za 25,8,2,3,0,0,2,0,2,0
Lamboara,7,2,0,0,0,1,0,2,0
Agnolignoly B 13,6,0,0,0,0,1,0,2,0
TSIMI Za079,6,0,0,0,0,0,0,2,0
TSIMI Za082,4,0,2,0,0,0,0,2,0
TSIMI Za083,2,0,0,0,0,0,0,2,0
Tsimi za 93,2,2,2,0,0,0,0,2,0
Lam Zafy 08/18,2,0,0,0,0,0,0,2,0
TSIMI Za108,4,0,0,0,0,0,0,2,0
TSIMI Za113,4,0,0,0,0,0,0,2,0
Lambri 08/18,2,2,2,0,0,0,0,2,0
Lam zo 6,2,0,1,0,0,0,0,2,0
Lam zo 9,5,1,2,0,0,0,0,2,0
Tampolove 32,4,1,0,0,0,0,0,2,0
Nosy Ri 01,5,0,1,0,0,0,0,2,0
VATO Ri005,4,0,0,0,0,0,0,2,0
LSS_22,83,0,3,39,0,0,0,1,0
Anjaboba Ca08,5,0,0,2,0,0,0,1,0
Tsimi za 55,3,0,0,2,0,0,0,1,0
Tsimi za 91,1,1,1,1,0,0,0,1,0
Lam Zafy 08/11,5,0,0,1,0,0,0,1,0
Lam Zafy 08/08,4,1,0,1,0,0,0,1,0
Lam Zafy 08/24,3,0,1,1,0,0,0,1,0
Agnolignoly Fe 06,7,1,1,1,0,0,0,1,0
Lam Zafy 08/10,2,0,0,0,0,0,1,1,0
Lambri 08/12,3,0,0,0,0,0,1,1,0
Nosy Pa 01,3,0,0,0,0,0,1,1,0
GI105,2,0,0,0,0,0,0,1,1
G-3-20,10,4,4,0,0,1,0,1,0
Nosy Fe 07,3,0,0,0,0,1,0,1,0
Tsimi Hira 47,2,0,1,0,0,0,0,1,0
Tsimi za 076,3,0,1,0,0,0,0,1,0
Tsimi Hira 51,1,0,0,0,0,0,0,1,0
Tsimi za 042,2,0,1,0,0,0,0,1,0
Agnolignoly Hr 02,2,0,0,0,0,0,0,1,0
GI123,12,0,0,0,0,0,0,1,0
LSS_13,8,0,0,0,0,0,0,1,0
Lam Zafy 08/09,1,1,1,0,0,0,0,1,0
Lam Zafy 08/06,1,0,0,0,0,0,0,1,0
Lambri 08/13,1,0,1,0,0,0,0,1,0
Lam zo 1,1,0,0,0,0,0,0,1,0
Lam zo 4,3,0,0,0,0,0,0,1,0
Tampolove 117,12,1,1,0,0,0,0,1,0
Salary_7,19,3,8,0,0,0,0,1,0
NB B 02,2,1,1,0,0,0,0,1,0
